year,week,publication_date,NOMBRE,variety,quality,size,sale_format,unit,price
2021,7,2021-02-19,ayote tierno,ayote_tierno,,,,u,525
2021,7,2021-02-19,banano criollo,banano_criollo,,,,u,45
2021,7,2021-02-19,brócoli,brocoli,,,,kg,1235
2021,7,2021-02-19,camote,camote,,,,kg,615
2021,7,2021-02-19,cebolla blanca,cebolla_blanca,1,,suelta,kg,1645
2021,7,2021-02-19,cebolla blanca,cebolla_blanca,2,,suelta,kg,1135
2021,7,2021-02-19,cebolla blanca,cebolla_blanca,,,trenza,kg,1645
2021,7,2021-02-19,coliflor,coliflor,,,,u,745
2021,7,2021-02-19,coco,coco,,,,u,410
2021,7,2021-02-19,culantro castilla,culantro_castilla,,,,rollo,80
2021,7,2021-02-19,chayote sazón blanco,chayote_sazon_blanco,,,,u,475
2021,7,2021-02-19,chayote tierno criollo,chayote_tierno_criollo,,,,u,420
2021,7,2021-02-19,chayote tierno quelite,chayote_tierno_quelite,,,,u,115
2021,7,2021-02-19,chile dulce,chile_dulce,1,,,u,225
2021,7,2021-02-19,chile dulce,chile_dulce,2,,,u,90
2021,7,2021-02-19,elote,elote,,,,u,145
2021,7,2021-02-19,fresa,fresa,,,,kg,2540
2021,7,2021-02-19,frijol tierno,frijol_tierno,,,,kg,1200
2021,7,2021-02-19,hongos frescos,hongos_frescos,,,,kg,
2021,7,2021-02-19,huevos,huevos,,,,kg,1175
2021,7,2021-02-19,lechuga americana,lechuga_americana,,,,u,265
2021,7,2021-02-19,limón mesino,limon_mesino,,,,u,225
2021,7,2021-02-19,limón mandarino,limon_mandarino,,,,u,75
2021,7,2021-02-19,manga,manga,,,,kg,1090
2021,7,2021-02-19,manga grande cavallini,manga_grande_cavallini,,G,,kg,915
2021,7,2021-02-19,manga grande keitt,manga_grande_keitt,,G,,kg,515
2021,7,2021-02-19,manga grande tommy,manga_grande_tommy,,G,,kg,915
2021,7,2021-02-19,manga pequeña mora,manga_pequena_mora,,P,,kg,
2021,7,2021-02-19,manga pequeña irwin,manga_pequena_irwin,,P,,kg,
2021,7,2021-02-19,maracuyá,maracuya,,,,kg,975
2021,7,2021-02-19,mora,mora,,,,kg,2000
2021,7,2021-02-19,naranja,naranja,,,,u,105
2021,7,2021-02-19,ñampí,nampi,,,,kg,650
2021,7,2021-02-19,papa amarilla,papa_amarilla,,,,kg,1105
2021,7,2021-02-19,papa blanca,papa_blanca,1,,,kg,1010
2021,7,2021-02-19,papa blanca,papa_blanca,2,,,kg,800
2021,7,2021-02-19,papaya,papaya,,,,kg,505
2021,7,2021-02-19,pepino,pepino,,,,kg,415
2021,7,2021-02-19,piña,pina,,G,,u,820
2021,7,2021-02-19,piña,pina,,M,,u,630
2021,7,2021-02-19,plátano,platano,,,,u,150
2021,7,2021-02-19,queso tipo turrialba,queso_tipo_turrialba,,,,kg,3135
2021,7,2021-02-19,remolacha,remolacha,,,,u,305
2021,7,2021-02-19,repollo verde,repollo_verde,,,,kg,515
2021,7,2021-02-19,sandía,sandia,,G,,kg,495
2021,7,2021-02-19,tiquisque lila,tiquisque_lila,,,,kg,850
2021,7,2021-02-19,tomate,tomate,1,,,kg,610
2021,7,2021-02-19,tomate,tomate,2,,,kg,475
2021,7,2021-02-19,vainica,vainica,,,,kg,750
2021,7,2021-02-19,yuca,yuca,,,corriente,kg,325
2021,7,2021-02-19,yuca,yuca,,,parafinada,kg,330
2021,7,2021-02-19,zanahoria,zanahoria,1,,,kg,510
2021,7,2021-02-19,zanahoria,zanahoria,2,,,kg,300
2021,7,2021-02-19,zapallo,zapallo,,,,u,565
2021,7,2021-02-19,dulce,dulce,,,,tapa,835
2021,7,2021-02-19,zuquini,zuquini,,,,u,435
2021,8,2021-02-26,aguacate Hass,aguacate_hass,,,,kg,2015
2021,8,2021-02-26,apio verde,apio_verde,,,,mata,1000
2021,8,2021-02-26,ayote sazón,ayote_sazon,,,,kg,510
2021,8,2021-02-26,ayote tierno,ayote_tierno,,,,u,505
2021,8,2021-02-26,banano criollo,banano_criollo,,,,u,45
2021,8,2021-02-26,brócoli,brocoli,,,,kg,1245
2021,8,2021-02-26,camote,camote,,,,kg,630
2021,8,2021-02-26,cebolla blanca,cebolla_blanca,1,,suelta,kg,1395
2021,8,2021-02-26,cebolla blanca,cebolla_blanca,2,,suelta,kg,1370
2021,8,2021-02-26,cebolla blanca,cebolla_blanca,,,trenza,kg,1335
2021,8,2021-02-26,coliflor,coliflor,,,,u,760
2021,8,2021-02-26,coco,coco,,,,u,460
2021,8,2021-02-26,culantro castilla,culantro_castilla,,,,rollo,100
2021,8,2021-02-26,chayote sazón blanco,chayote_sazon_blanco,,,,u,460
2021,8,2021-02-26,chayote tierno criollo,chayote_tierno_criollo,,,,u,330
2021,8,2021-02-26,chayote tierno quelite,chayote_tierno_quelite,,,,u,165
2021,8,2021-02-26,chile dulce,chile_dulce,1,,,u,295
2021,8,2021-02-26,chile dulce,chile_dulce,2,,,u,195
2021,8,2021-02-26,elote,elote,,,,u,145
2021,8,2021-02-26,fresa,fresa,,,,kg,2515
2021,8,2021-02-26,frijol tierno,frijol_tierno,,,,kg,1330
2021,8,2021-02-26,hongos frescos,hongos_frescos,,,,kg,
2021,8,2021-02-26,huevos,huevos,,,,kg,2265
2021,8,2021-02-26,lechuga americana,lechuga_americana,,,,u,260
2021,8,2021-02-26,limón mesino,limon_mesino,,,,u,225
2021,8,2021-02-26,limón mandarino,limon_mandarino,,,,u,100
2021,8,2021-02-26,manga,manga,,,,kg,1045
2021,8,2021-02-26,manga grande cavallini,manga_grande_cavallini,,G,,kg,
2021,8,2021-02-26,manga grande keitt,manga_grande_keitt,,G,,kg,
2021,8,2021-02-26,manga grande tommy,manga_grande_tommy,,G,,kg,
2021,8,2021-02-26,manga pequeña mora,manga_pequena_mora,,P,,kg,
2021,8,2021-02-26,manga pequeña irwin,manga_pequena_irwin,,P,,kg,
